frame,price,supplier
23,3.84,roma
24,3.84,roma
48,2.5,roma
49,2.5,roma
54,2.5,roma
55,2.5,roma
57,2.5,roma
84,3.98,roma
103,2.48,roma
104,2.48,roma
108,2.31,roma
110,2.31,roma
111,2.31,roma
140,1.14,roma
151,1.2,roma
180,1.09,roma
190,0.89,roma
200,1.12,roma
201,1.31,roma
220,2.35,roma
1047,4.11,roma
1051,3.08,roma
1053,4.11,roma
1054,3.16,roma
1055,3.16,roma
1086,3.08,roma
1654,7.01,roma
1655,7.01,roma
1686,7.01,roma
2011,4.79,roma
2012,4.79,roma
2013,4.79,roma
2014,4.79,roma
2015,4.79,roma
3011,4.79,roma
3012,4.79,roma
3013,4.79,roma
3014,4.79,roma
3015,4.79,roma
3286,8.89,roma
3886,31.86,roma
4986,28.25,roma
12954,18.48,roma
12955,18.48,roma
14354,4.26,roma
14355,4.26,roma
14455,4.53,roma
15154,28.35,roma
15155,28.35,roma
15203,3.62,roma
15209,3.62,roma
15245,3.62,roma
15254,3.62,roma
15255,3.62,roma
15298,3.62,roma
15309,5.65,roma
15345,5.65,roma
15354,5.65,roma
15355,5.65,roma
17200,8.89,roma
17254,8.89,roma
17255,8.89,roma
20154,3.11,roma
20155,3.11,roma
20254,4.41,roma
20255,4.41,roma
20554,6.37,roma
20555,6.37,roma
25800,10.9,roma
25831,10.9,roma
25854,10.9,roma
25855,10.9,roma
26206,5.04,roma
26254,5.04,roma
26255,5.04,roma
26306,7.09,roma
26354,7.09,roma
26355,7.09,roma
26506,4.76,roma
26554,4.76,roma
26555,4.76,roma
26654,7.09,roma
26655,7.09,roma
26854,5.04,roma
26855,5.04,roma
27654,6.54,roma
27655,6.54,roma
27754,9.51,roma
27755,9.51,roma
28300,12.71,roma
28354,12.71,roma
28355,12.71,roma
28400,22.43,roma
28454,22.43,roma
28455,22.43,roma
29000,3.92,roma
29054,3.92,roma
29055,3.92,roma
29087,3.92,roma
29454,5.9,roma
29455,5.9,roma
29554,7.61,roma
29555,7.61,roma
29754,9.49,roma
29755,9.49,roma
29854,16.26,roma
29855,16.26,roma
29887,10.38,roma
30345,5.56,roma
30354,5.56,roma
30355,5.56,roma
30445,7.49,roma
30454,7.49,roma
30455,7.49,roma
30545,7.97,roma
30554,7.97,roma
30555,7.97,roma
30645,18.13,roma
30654,18.13,roma
30655,18.13,roma
30745,12.52,roma
30754,12.52,roma
30755,12.52,roma
30845,23.3,roma
30854,23.3,roma
30855,23.3,roma
30945,33.8,roma
30954,33.8,roma
30955,33.8,roma
31554,6.4,roma
31555,6.4,roma
31754,4.37,roma
31755,4.37,roma
31905,6.66,roma
31906,6.66,roma
31954,6.66,roma
31955,6.66,roma
32200,18.95,roma
32255,18.95,roma
39200,7.14,roma
39211,7.14,roma
39254,7.14,roma
39255,7.14,roma
39256,7.14,roma
39700,6.86,roma
39754,6.86,roma
39755,6.86,roma
42200,29.52,roma
42254,29.52,roma
42255,29.52,roma
42300,60.76,roma
42331,60.76,roma
42355,60.76,roma
57343,17.27,roma
57344,17.27,roma
57345,17.27,roma
57443,42.21,roma
57444,42.21,roma
57445,42.21,roma
57543,22.67,roma
57544,22.67,roma
57545,22.67,roma
57551,21.8,roma
58243,22.67,roma
58244,22.67,roma
58245,22.67,roma
58251,22.67,roma
58511,6.35,roma
58545,6.35,roma
58611,9.96,roma
58645,9.96,roma
58811,4.62,roma
58845,4.62,roma
59100,4.38,roma
59109,4.38,roma
59145,4.88,roma
59154,4.43,roma
59163,4.43,roma
59300,14.76,roma
59345,17.66,roma
59348,17.66,roma
59387,43.39,roma
59510,11.96,roma
59545,11.96,roma
59587,11.96,roma
59910,11.03,roma
59945,11.03,roma
59953,11.03,roma
59983,11.03,roma
59987,11.03,roma
60010,17.5,roma
60045,17.5,roma
60083,17.5,roma
60087,17.5,roma
60145,43.38,roma
60187,43.38,roma
60210,7.83,roma
60245,7.83,roma
60247,7.83,roma
60253,7.83,roma
